"Date","Lender","Industry","Street","Zip"
2013-12-11,"CNI","IT/Manufacturing","Western",60608
2013-12-16,"Accion","Retail Stores","Franklin",60654
2013-12-16,"Accion","Retail Sales - Other","Armitage",60647
2013-12-17,"Accion","Retail Sales - Other","Wabash",60605
2014-01-30,"Accion","Retail Sales - Other","Pulaski",60629
2014-03-03,"CNI","Professional/Off Svc","Wacker",60606
2014-04-04,"CNI","Other Services","Greenwood",60653
2014-04-09,"Accion","Retail Sales - Other","Artesian",60629
2014-04-25,"CNI","Professional/Off Svc","Michigan",60616
2014-04-29,"Accion","Professional/Off Svc","Thorndale",60660
2014-05-01,"CNI","Construction/Repair","115th",60628
2014-05-08,"CNI","Construction/Repair","Lawrence",60625
2014-05-20,"Accion","Professional/Off Svc","Belmont",60641
2014-05-21,"Accion","Auto/Vehicle","Stony Island",60617
2014-05-22,"Accion","Food/Beverage","Pulaski",60629
2014-06-13,"Accion","Construction/Repair","71st",60637
2014-06-18,"WBDC","Professional/Off Svc","Fullerton",60639
2014-06-26,"Accion","Entertainment","Lake",60607
2014-06-30,"Accion","Retail Stores","North",60622
2014-06-30,"Accion","Professional/Off Svc","Chicago",60651
2014-06-30,"Accion","Retail Stores","21st",60608
2014-07-02,"Accion","Food/Beverage","Cuyler",60634
2014-07-08,"Accion","Other Services","Drake",60618
2014-07-18,"Accion","Retail Stores","Western",60647
2014-07-24,"Accion","Retail Sales - Other","Armitage",60647
2014-07-25,"Accion","Retail Sales - Other","Kolin",60632
2014-07-28,"Accion","Construction/Repair","Michigan",60637
2014-07-29,"Accion","Beauty/Salon Services","87th",60619
2014-07-30,"Accion","Auto/Vehicle","Grand",60707
2014-08-14,"Accion","Professional/Off Svc","102nd",60628
2014-08-15,"Accion","Education","Lincoln",60613
2014-08-26,"Accion","Retail Stores","Saint Louis",60618
2014-09-03,"Accion","Medical Services","Patterson",60634
2014-09-15,"CNI","Real Estate Consultant","Ohio",60611
2014-09-16,"CNI","Catering","State",60609
2014-09-16,"CNI","Construction","Cornell",60617
2014-09-30,"Accion","Day Care","Indiana",60653
2014-10-17,"Accion","Auto/Vehicle","Ferdinand",60651
2014-10-20,"Accion","Medical Services","Western",60643
2014-10-22,"Accion","Retail Stores","Hyde Park",60615
2014-11-06,"Accion","Professional/Off Svc","Longwood",60643
2014-11-10,"Accion","Day Care","Halsted",60628
2014-11-13,"Accion","Food/Beverage","Lawrence",60625
2014-11-18,"Accion","Day Care","Constance",60617
2014-11-18,"CNI","Service","83rd",60619
2014-11-19,"Accion","Retail Stores","Cermak",60623
2014-11-20,"Accion","Beauty/Salon Services","76th",60619
2014-11-24,"Accion","Medical Services","Evans",60615
2014-11-25,"Accion","transportation","Shore",60649
2014-11-25,"Accion","Other Services","Irving Pk.",60634
2014-12-04,"Accion","Construction/Repair","Monitor",60639
2014-12-05,"Accion","Food/Beverage","Austin",60639
2014-12-05,"Accion","Day Care","Perry",60620
2014-12-12,"Accion","Construction/Repair","Lafayette",60628
2014-12-12,"Accion","Professional/Off Svc","LaSalle",60602
2015-01-07,"CNI","Construction","Canalport",60608
2015-01-15,"CNI","Service","Greenwood",60615
2015-01-30,"WBDC","Professional/Off Svc","Washington",60661
2015-02-02,"Accion","Retail Stores","Lincoln",60657
2015-02-06,"Accion","Clothing Design/Mfg","71st",60619
2015-02-12,"Accion","Retail sales","Milwaukee",60622
2015-02-13,"Accion","Restaurant - Full Service","63rd",60629
2015-02-18,"Accion","Restaurant - Full Service","California",60622
2015-02-23,"Accion","Other Services","103rd",60643
2015-02-23,"Accion","Restaurant - Full Service","Pulaski",60641
2015-02-23,"CNI","Food/Beverage","Saint Lawrence",60628
2015-02-25,"Accion","Restaurant - Full Service","BRYN MAWR",60659
2015-02-26,"Accion","Electronics","Wabash",60605
2015-03-04,"Accion","Retail Stores","Irving Pk.",60634
2015-03-09,"CNI","Other Services -Childcare","Albany",60652
2015-03-12,"Accion","Auto/Vehicle","Armitage",60647
2015-03-16,"Accion","Food/Beverage","Brainard",60633
2015-03-17,"Accion","Entertainment","16th",60608
2015-03-19,"Accion","Transportation","Tripp",60639
2015-03-23,"Accion","Other Services","Sawyer",60625
2015-03-23,"Accion","Manufacturing","Maplewood",60632
2015-03-30,"Accion","Retail Sales","Wrightwood",60614
2015-04-01,"CNI","Other Services - Tire Repair","Racine",60620
2015-04-01,"CNI","Other Services - Childcare","Calumet",60619
2015-04-07,"WBDC","Other Services","State",60605
2015-04-16,"Accion","Other Services","Hamlin",60624
2015-04-24,"CNI","Other Services - Cosmetology","Canalport",60608
2015-05-01,"WBDC","Retail Sales - Other","Potomac",60622
2015-05-07,"WBDC","Professional/Off Svc","Ashland",60622
2015-05-15,"WBDC","Retail Sales - Other","Western",60612
2015-06-03,"Accion","Construction/Repair","Michigan",60637
2015-06-16,"Accion","Professional/Off Svc","Cicero",60641
2015-06-29,"CNI","Transportation","North",60642
2015-07-15,"CNI","Other Services","92nd",60617
2015-07-15,"CNI","Other Services","79th",60649
2015-07-17,"Accion","Fashion, jewelry, art and sewing/ jewelry classes","21st",60608
2015-08-06,"CNI","Transportation","Blackstone",60619
2015-08-07,"WBDC","Construction/Repair","18th",60616
2015-08-28,"Accion","Other Services","Normal",60620
2015-08-31,"Accion","Retail Services - Other","Racine",60620
2015-09-10,"CNI","Other Services","Yates",60617
2015-09-22,"CNI","Other Services","South Chicago",60637
2015-09-29,"Accion","Retail Stores","Milwaukee",60647
2015-10-06,"Accion","Entertainment","Chicago",60622
2015-10-06,"Accion","Food/Beverage","18th",60608
2015-10-08,"WBDC","Retail Sales - Other","43rd",60653
2015-10-09,"CNI","Retail Sales - Other","53rd",60615
2015-10-23,"CNI","Professional/Off Svc","87th",60620
2015-11-03,"WBDC","Entertainment/Manufacturing","Schiller",60610
2015-11-09,"WBDC","Enviromental Consulting","Francisco",60625
2015-11-25,"Accion","Beauty/Salon Services","Broadway",60613
2015-12-11,"WBDC","Retail Sales - Other","Throop",60608
2015-12-11,"CNI","Other Services - Education","Euclid",60617
2015-12-11,"CNI","Manufacturing","104th",60643
2015-12-11,"Accion","Medical Services","Lincoln",60618
2015-12-16,"Accion","Food/Beverage","Montrose",60618
2015-12-23,"CNI","Professional/Off Svc","Wacker",60606
2015-12-23,"WBDC","Day Care","Halsted",60609
2016-01-13,"WBDC","Construction/Repair","Merrill",60649
2016-01-15,"CNI","Other Services","40th",60653
2016-01-18,"Accion","Other Services","Clark",60601
2016-01-28,"Accion","Arts/Crafts Production","Western",60603
2016-01-29,"Accion","Retail Sales - Other","Michigan",60611
2016-02-02,"Accion","Food/Beverage","Broadway",60657
2016-02-10,"CNI","Manufacturing","Lake",60653
2016-02-16,"Accion","Food/Beverage","Pershing",60632
2016-02-16,"Accion","Arts/Crafts Production","Winthrop",60660
2016-02-16,"CNI","Transportation","Commercial",60617
